PlateName,Row,Column ,1442.73,1474.73, Injection Time (sec),EM/MM0,Timepoint,Fraction,% Oxidation,Turnover
Plate2,2001,2,0,0,7.17,,,,,
Plate2,2001,3,0,0,21.47,,,,,
Plate2,2001,2,0,0,35.77,,,,,
Plate2,2001,3,0,0,50.07,,,,,
Plate2,16,14,11970464.32,0,64.94,EM,0,0.99999883,0.00%,0.00E+00
Plate2,16,16,13256746.32,0,79.79,EM,0,0.999998793,0.00%,0.00E+00
Plate2,16,18,12951928.15,0,94.73,EM,0,0.99999861,0.00%,0.00E+00
Plate2,2001,2,0,0,109.18,,,,,
Plate2,2001,3,0,0,123.37,,,,,
Plate2,16,20,16255216.74,0,138.35,MM0,0,0.99999877,0.00%,0.00E+00
Plate2,16,22,15701321.82,0,153.19,MM0,0,0.999998599,0.00%,0.00E+00
Plate2,16,24,15785401.5,0,168.16,MM0,0,0.99999848,0.00%,0.00E+00
Plate2,2001,2,0,0,182.49,,,,,
Plate2,2001,3,0,0,196.66,,,,,
Plate2,2001,2,0,0,211.1,,,,,
Plate2,2001,3,0,0,225.4,,,,,
Plate2,15,14,1846183.609,0,240.36,EM,0.5,0.999992417,0.00%,0.00E+00
Plate2,15,16,3560905.83,0,255.19,EM,0.5,0.999995507,0.00%,0.00E+00
Plate2,15,18,5448957.927,0,270.05,EM,0.5,0.999996697,0.00%,0.00E+00
Plate2,2001,2,0,0,284.51,,,,,
Plate2,2001,3,0,0,298.69,,,,,
Plate2,15,20,10841690.2,0,313.66,MM0,0.5,0.999998155,0.00%,0.00E+00
Plate2,15,22,8162732.199,0,328.48,MM0,0.5,0.999997305,0.00%,0.00E+00
Plate2,15,24,11162048.84,0,343.42,MM0,0.5,0.99999785,0.00%,0.00E+00
Plate2,2001,2,0,0,357.84,,,,,
Plate2,2001,3,0,0,372.02,,,,,
Plate2,2001,2,0,0,386.47,,,,,
Plate2,2001,3,0,0,400.66,,,,,
Plate2,14,14,1909462.241,0,415.49,EM,1,0.999992668,0.00%,0.00E+00
Plate2,14,16,2308409.945,0,430.47,EM,1,0.999993069,0.00%,0.00E+00
Plate2,14,18,5640183.241,0,445.31,EM,1,0.999996809,0.00%,0.00E+00
Plate2,2001,2,0,0,459.78,,,,,
Plate2,2001,3,0,0,473.99,,,,,
Plate2,14,20,10633655.76,0,488.91,MM0,1,0.999998119,0.00%,0.00E+00
Plate2,14,22,11592515.42,0,503.76,MM0,1,0.999998102,0.00%,0.00E+00
Plate2,14,24,9751235.18,0,518.72,MM0,1,0.999997539,0.00%,0.00E+00
Plate2,2001,2,0,0,533.03,,,,,
Plate2,2001,3,0,0,547.35,,,,,
Plate2,2001,2,0,0,561.62,,,,,
Plate2,2001,3,0,0,575.84,,,,,
Plate2,13,14,1856124.683,0,590.72,EM,1.5,0.999992457,0.00%,0.00E+00
Plate2,13,16,1940034.424,0,605.7,EM,1.5,0.999991753,0.00%,0.00E+00
Plate2,13,18,8288759.617,0,620.56,EM,1.5,0.999997828,0.00%,0.00E+00
Plate2,2001,2,0,0,634.99,,,,,
Plate2,2001,3,0,0,649.04,,,,,
Plate2,13,20,12656125.4,0,663.87,MM0,1.5,0.99999842,0.00%,0.00E+00
Plate2,13,22,8902668.452,0,678.86,MM0,1.5,0.999997529,0.00%,0.00E+00
Plate2,13,24,9338570.652,0,693.7,MM0,1.5,0.99999743,0.00%,0.00E+00
Plate2,2001,2,0,0,708.12,,,,,
Plate2,2001,3,0,0,722.33,,,,,
Plate2,2001,2,0,0,736.65,,,,,
Plate2,2001,3,0,0,750.94,,,,,
Plate2,12,14,1748822.089,0,765.89,EM,3,0.999991995,0.00%,0.00E+00
Plate2,12,16,1832991.157,0,780.8,EM,3,0.999991271,0.00%,0.00E+00
Plate2,12,18,4061579.893,0,795.62,EM,3,0.999995568,0.00%,0.00E+00
Plate2,2001,2,0,0,810.03,,,,,
Plate2,2001,3,0,0,824.2,,,,,
Plate2,12,20,9605145.275,0,839.2,MM0,3,0.999997918,0.00%,0.00E+00
Plate2,12,22,8779029.896,0,854.08,MM0,3,0.999997494,0.00%,0.00E+00
Plate2,12,24,9675485.784,0,868.92,MM0,3,0.99999752,0.00%,0.00E+00
Plate2,2001,2,0,0,883.36,,,,,
Plate2,2001,3,0,0,897.24,,,,,
Plate2,2001,2,0,0,911.68,,,,,
Plate2,2001,3,0,0,925.88,,,,,
Plate2,11,14,1869883.68,0,940.72,EM,5,0.999992513,0.00%,0.00E+00
Plate2,11,16,1673029.563,0,955.68,EM,5,0.999990437,0.00%,0.00E+00
Plate2,11,18,2776322.674,0,970.56,EM,5,0.999993517,0.00%,0.00E+00
Plate2,2001,2,0,0,984.97,,,,,
Plate2,2001,3,0,0,999.12,,,,,
Plate2,11,20,7524346.875,0,1014.06,MM0,5,0.999997342,0.00%,0.00E+00
Plate2,11,22,8248760.863,0,1029.02,MM0,5,0.999997333,0.00%,0.00E+00
Plate2,11,24,7062758.119,0,1043.62,MM0,5,0.999996602,0.00%,0.00E+00
Plate2,2001,2,0,0,1058.08,,,,,
Plate2,2001,3,0,0,1072.26,,,,,
Plate2,2001,2,0,0,1086.71,,,,,
Plate2,2001,3,0,0,1100.88,,,,,
Plate2,10,14,1747890.599,0,1115.6,EM,10,0.99999199,0.00%,0.00E+00
Plate2,10,16,1619736.236,0,1130.3,EM,10,0.999990122,0.00%,0.00E+00
Plate2,10,18,2940627.363,0,1145,EM,10,0.999993879,0.00%,0.00E+00
Plate2,2001,2,0,0,1159.37,,,,,
Plate2,2001,3,0,0,1173.66,,,,,
Plate2,10,20,6545737.408,0,1188.37,MM0,10,0.999996945,0.00%,0.00E+00
Plate2,10,22,6858136.15,0,1202.97,MM0,10,0.999996792,0.00%,0.00E+00
Plate2,10,24,6574802.873,0,1217.77,MM0,10,0.99999635,0.00%,0.00E+00
Plate2,2001,2,0,0,1232.1,,,,,
Plate2,2001,3,0,0,1246.43,,,,,
Plate2,2001,2,0,0,1260.73,,,,,
Plate2,2001,3,0,0,1275.04,,,,,
Plate2,9,14,1608619.461,0,1289.66,EM,20,0.999991297,0.00%,0.00E+00
Plate2,9,16,1840526.596,0,1304.41,EM,20,0.999991307,0.00%,0.00E+00
Plate2,9,18,2510915.409,0,1319.13,EM,20,0.999992831,0.00%,0.00E+00
Plate2,2001,2,0,0,1333.48,,,,,
Plate2,2001,3,0,0,1347.7,,,,,
Plate2,9,20,9142684.081,0,1362.45,MM0,20,0.999997812,0.00%,0.00E+00
Plate2,9,22,5681614.26,0,1377.17,MM0,20,0.999996128,0.00%,0.00E+00
Plate2,9,24,5874823.752,0,1391.72,MM0,20,0.999995915,0.00%,0.00E+00
Plate2,2001,2,0,0,1406.18,,,,,
Plate2,2001,3,0,0,1420.4,,,,,
Plate2,2001,2,0,0,1434.84,,,,,
Plate2,2001,3,0,0,1449,,,,,
Plate2,2001,2,0,0,1463.46,,,,,
Plate2,2001,3,0,0,1477.64,,,,,
Plate2,8,14,1492483.033,0,1492.31,EM,40,0.99999062,0.00%,0.00E+00
Plate2,8,16,1581116.904,0,1507,EM,40,0.999989881,0.00%,0.00E+00
Plate2,8,18,2142138.671,0,1521.67,EM,40,0.999991597,0.00%,0.00E+00
Plate2,2001,2,0,0,1536.12,,,,,
Plate2,2001,3,0,0,1550.27,,,,,
Plate2,2001,2,0,0,1564.7,,,,,
Plate2,2001,3,0,0,1578.86,,,,,
Plate2,8,20,3916454.191,0,1593.59,MM0,40,0.999994893,0.00%,0.00E+00
Plate2,8,22,3974018.959,0,1608.32,MM0,40,0.999994464,0.00%,0.00E+00
Plate2,8,24,3176844.306,0,1623,MM0,40,0.999992445,0.00%,0.00E+00
Plate2,2001,2,0,0,1637.44,,,,,
Plate2,2001,3,0,0,1651.6,,,,,
Plate2,2001,2,0,0,1666.02,,,,,
Plate2,2001,3,0,0,1680.21,,,,,
Plate2,7,14,1200307.645,0,1694.93,EM,60,0.999988336,0.00%,0.00E+00
Plate2,7,16,1452906.827,0,1709.6,EM,60,0.999988988,0.00%,0.00E+00
Plate2,7,18,2251192.695,0,1724.29,EM,60,0.999992004,0.00%,0.00E+00
Plate2,2001,2,0,0,1738.77,,,,,
Plate2,2001,3,0,0,1752.98,,,,,
Plate2,2001,2,0,0,1767.41,,,,,
Plate2,2001,3,0,0,1781.59,,,,,
Plate2,7,20,2341649.036,0,1796.2,MM0,60,0.999991459,0.00%,0.00E+00
Plate2,7,22,1532038.137,0,1811.03,MM0,60,0.99998564,0.00%,0.00E+00
Plate2,7,24,1608742.236,0,1825.72,MM0,60,0.999985082,0.00%,0.00E+00
Plate2,2001,2,0,0,1840.06,,,,,
Plate2,2001,3,0,0,1854.21,,,,,
Plate2,2001,2,0,0,1868.68,,,,,
Plate2,2001,3,0,0,1882.89,,,,,
Plate2,6,14,923930.7715,57372.78662,1897.63,EM,300,0.999984848,5.85%,1.36E-01
Plate2,6,16,676271.125,39387.37598,1912.34,EM,300,0.999976341,5.50%,1.28E-01
Plate2,6,18,0,0,1927.04,EM,300,0,#DIV/0!,#DIV/0!
Plate2,2001,2,0,0,1941.36,,,,,
Plate2,2001,3,0,0,1955.52,,,,,
Plate2,2001,2,0,0,1969.94,,,,,
Plate2,2001,3,0,0,1984.27,,,,,
Plate2,6,20,995353.1567,0,1998.94,MM0,300,0.999979907,0.00%,0.00E+00
Plate2,6,22,1003654.823,0,2013.66,MM0,300,0.999978081,0.00%,0.00E+00
Plate2,6,24,994224.5518,0,2028.32,MM0,300,0.999975861,0.00%,0.00E+00
Plate2,2001,2,0,0,2042.78,,,,,
Plate2,2001,3,0,0,2056.97,,,,,
Plate2,2001,2,0,0,2071.28,,,,,
Plate2,2001,3,0,0,2085.47,,,,,
Plate2,2001,2,0,0,2099.91,,,,,
Plate2,2001,3,0,0,2114.1,,,,,
